run,steepness,final_density,average_degree,average_betweenness,average_page_rank,average_clustering_coefficient
1,1.0,0.061225,2.93717277486911,0.017488856535534322,0.002617801047120419,0.22359885605958904
2,1.0,0.0594,2.9110512129380055,0.01398805945515564,0.002695417789757412,0.22241600727778876
3,1.0,0.05705,2.8467966573816157,0.01803425342997876,0.0027855153203342614,0.21657753442586716
4,1.0,0.05925,2.8295454545454546,0.020153827653827658,0.002840909090909091,0.22893532473273845
5,1.0,0.059025,2.893300248138958,0.01802559389213841,0.002481389578163772,0.23494287873494177
6,1.0,0.053025,2.8811188811188813,0.017713786137257895,0.002331002331002331,0.2198502615195729
7,1.0,0.05835,2.948314606741573,0.015164574877461983,0.0022471910112359553,0.2202574808301521
8,1.0,0.054775,2.7625570776255706,0.019728921480800663,0.0022831050228310492,0.17758917344980468
9,1.0,0.061775,3.1016042780748663,0.015200421838481368,0.0026737967914438492,0.311174750944827
10,1.0,0.06,3.0818858560794045,0.01628368617731991,0.0024813895781637717,0.2915949972648359
1,1.2105263157894737,0.0539,2.984520123839009,0.017531279497833903,0.0030959752321981426,0.25701837462223365
2,1.2105263157894737,0.04695,2.8264462809917354,0.020085979959427087,0.0027548209366391185,0.21354607958886024
3,1.2105263157894737,0.041875,2.5552699228791775,0.025425143112516882,0.002570694087403599,0.1565247257762633
4,1.2105263157894737,0.049925,2.8418491484184916,0.02172979076354395,0.0024330900243309003,0.23037135718920987
5,1.2105263157894737,0.054875,2.858447488584475,0.019110849151335648,0.0022831050228310492,0.21883129518668776
6,1.2105263157894737,0.04875,2.8802083333333335,0.016080131995042338,0.0026041666666666657,0.23936261092028063
7,1.2105263157894737,0.0445,2.7213930348258706,0.020824307390727156,0.002487562189054726,0.2075870646766168
8,1.2105263157894737,0.050825,2.9205479452054797,0.01869297161949715,0.0027397260273972603,0.21785507226836348
9,1.2105263157894737,0.0505,2.7976878612716765,0.022135737817339483,0.002890173410404624,0.18984257608589084
10,1.2105263157894737,0.0567,3.0632183908045976,0.0174181557919213,0.002873563218390804,0.2604864632426555
1,1.4210526315789473,0.04345,2.6683673469387754,0.018828400925587616,0.0025510204081632647,0.18933721684550103
2,1.4210526315789473,0.049875,2.9383378016085793,0.019057751437707656,0.002680965147453083,0.257412714554251
3,1.4210526315789473,0.042725,2.683195592286501,0.023307350971590743,0.0027548209366391177,0.1749897298342275
4,1.4210526315789473,0.044225,2.8532608695652173,0.017821467945618036,0.0027173913043478256,0.21200511890105603
5,1.4210526315789473,0.04855,2.7601078167115904,0.022082170264406807,0.002695417789757412,0.18828446186936731
6,1.4210526315789473,0.04405,2.795918367346939,0.01834298936966092,0.002551020408163265,0.2029343762298307
7,1.4210526315789473,0.0434,2.610169491525424,0.021133033268054754,0.002421307506053268,0.13048609151682045
8,1.4210526315789473,0.049225,2.938992042440318,0.01898357695129523,0.002652519893899204,0.2398295594869971
9,1.4210526315789473,0.050475,2.944297082228117,0.019502116372255775,0.0026525198938992037,0.26060372775592744
10,1.4210526315789473,0.043675,2.72112676056338,0.02812005272137942,0.002816901408450704,0.19301824693867667
1,1.631578947368421,0.047725,3.011627906976744,0.013309803142566112,0.002906976744186046,0.2732010983201087
2,1.631578947368421,0.044075,2.745664739884393,0.02328571901708777,0.002890173410404624,0.2067034593403412
3,1.631578947368421,0.044625,2.7903614457831325,0.019967042257530654,0.0024096385542168685,0.20967737227981711
4,1.631578947368421,0.036825,2.7769423558897244,0.024545148296611443,0.0025062656641604004,0.20188804373581962
5,1.631578947368421,0.0416,2.7150837988826817,0.019025763591482628,0.0027932960893854745,0.21467466788592987
6,1.631578947368421,0.042225,2.8794788273615635,0.022016095735387462,0.003257328990228013,0.2232958390470426
7,1.631578947368421,0.046675,2.970189701897019,0.018486881202184845,0.0027100271002710027,0.2454793068700697
8,1.631578947368421,0.033525,2.624697336561743,0.025401650890961438,0.0024213075060532676,0.15534415579396915
9,1.631578947368421,0.0454,2.773109243697479,0.020553104926097684,0.0028011204481792717,0.20219938962518555
10,1.631578947368421,0.0478,2.996941896024465,0.01770467576737627,0.003058103975535168,0.2752746316021054
1,1.8421052631578947,0.040775,2.9269662921348316,0.016888578343673414,0.0028089887640449433,0.23347323839386813
2,1.8421052631578947,0.045375,2.7861635220125787,0.023492799931288003,0.0031446540880503146,0.22102206066201216
3,1.8421052631578947,0.046275,2.892128279883382,0.01780965070525377,0.0029154518950437313,0.2162787633213091
4,1.8421052631578947,0.0441,2.8819875776397517,0.021300623052959506,0.0031055900621118006,0.2195180360130494
5,1.8421052631578947,0.049,3.092485549132948,0.016656195023875348,0.002890173410404624,0.2857816967956507
6,1.8421052631578947,0.03755,2.6433915211970076,0.02279226745167157,0.002493765586034912,0.14619070301773662
7,1.8421052631578947,0.04565,2.8895184135977336,0.019569560646047895,0.0028328611898017,0.22856718145542052
8,1.8421052631578947,0.03435,2.5623471882640585,0.022921333398825166,0.0024449877750611247,0.13151635532700134
9,1.8421052631578947,0.04075,2.764872521246459,0.023951791834228096,0.0028328611898017003,0.19316382710590466
10,1.8421052631578947,0.04365,2.8192090395480225,0.018542591493268503,0.0028248587570621464,0.18771997519729852
1,2.052631578947368,0.03975,2.8777777777777778,0.021347101836434405,0.0027777777777777775,0.22375474106780188
2,2.052631578947368,0.0449,2.912,0.017762421566237998,0.0026666666666666666,0.23026372787557844
3,2.052631578947368,0.040475,2.7930174563591024,0.01833145832161451,0.0024937655860349122,0.18831949052987348
4,2.052631578947368,0.038125,2.7771084337349397,0.02343557145362554,0.0030120481927710836,0.21612611761459571
5,2.052631578947368,0.03585,2.650485436893204,0.026888266260594682,0.002427184466019417,0.15362199360936435
6,2.052631578947368,0.042125,2.8784530386740332,0.019732123271248785,0.002762430939226519,0.24304567379759304
7,2.052631578947368,0.03815,2.826210826210826,0.02258476745582763,0.002849002849002849,0.19967986743370156
8,2.052631578947368,0.044975,3.049382716049383,0.016158849335140453,0.003086419753086419,0.2551956227868695
9,2.052631578947368,0.039,2.7790697674418605,0.021652920071100073,0.002906976744186046,0.18368099923332473
10,2.052631578947368,0.036825,2.699074074074074,0.02015593805643987,0.0023148148148148143,0.1676370326323605
1,2.263157894736842,0.037525,2.7086614173228347,0.022702482631276413,0.0026246719160104982,0.1903372927440672
2,2.263157894736842,0.0356,2.8226600985221677,0.019234071737770378,0.0024630541871921187,0.20735025312908764
3,2.263157894736842,0.03955,2.824468085106383,0.017801987332650666,0.0026595744680851063,0.23319916517590933
4,2.263157894736842,0.041625,2.8117359413202934,0.01830996301009245,0.0024449877750611247,0.18219336634409267
5,2.263157894736842,0.039325,2.762836185819071,0.019363456261198245,0.002444987775061125,0.18341695868885813
6,2.263157894736842,0.03605,2.689873417721519,0.02155622871578688,0.0031645569620253155,0.1631534224097515
7,2.263157894736842,0.04425,2.783289817232376,0.01577964108087845,0.002610966057441253,0.18368334745394252
8,2.263157894736842,0.039375,2.72972972972973,0.017050560634866038,0.002702702702702703,0.19653697901404332
9,2.263157894736842,0.03795,2.8184281842818426,0.014772432850498394,0.0027100271002710027,0.19489607569226303
10,2.263157894736842,0.04005,2.918032786885246,0.019547550095820626,0.003278688524590164,0.23754640292643273
1,2.473684210526316,0.036375,2.782051282051282,0.022829781462184753,0.0032051282051282046,0.20968146973301607
2,2.473684210526316,0.0398,2.8421052631578947,0.016046896778739585,0.002631578947368421,0.2219732880588567
3,2.473684210526316,0.03815,2.8131868131868134,0.01852157552810491,0.002747252747252748,0.2086553287745538
4,2.473684210526316,0.03535,2.775147928994083,0.023705793749733497,0.0029585798816568042,0.2002615556127261
5,2.473684210526316,0.03675,2.8055555555555554,0.018683009739793793,0.0027777777777777775,0.2063421423191537
6,2.473684210526316,0.031275,2.5760869565217392,0.02396293980137282,0.0027173913043478256,0.15152372443915035
7,2.473684210526316,0.035,2.730769230769231,0.023301744296219434,0.002747252747252748,0.19300311899321798
8,2.473684210526316,0.03685,2.883468834688347,0.016754868561598777,0.002710027100271003,0.21594513144010996
9,2.473684210526316,0.03595,2.638655462184874,0.025637943102545645,0.0028011204481792717,0.19287100156980244
10,2.473684210526316,0.039675,2.9763313609467454,0.019892185536444836,0.0029585798816568042,0.2255926381058877
1,2.6842105263157894,0.040425,2.807588075880759,0.017583592344630947,0.0027100271002710027,0.2070935937770811
2,2.6842105263157894,0.0368,2.844686648501362,0.01858596588488141,0.0027247956403269745,0.21675901968416794
3,2.6842105263157894,0.037775,2.987012987012987,0.015113083037972862,0.003246753246753247,0.29680311518546804
4,2.6842105263157894,0.037475,2.6742209631728047,0.023784872403852575,0.0028328611898017,0.17994756266710937
5,2.6842105263157894,0.04055,2.76878612716763,0.021527554545082612,0.002890173410404624,0.20304308266137178
6,2.6842105263157894,0.03405,2.64,0.025900696806733754,0.002857142857142857,0.14626371122611728
7,2.6842105263157894,0.041225,2.637770897832817,0.016343413688750166,0.003095975232198142,0.17809575842720984
8,2.6842105263157894,0.037125,2.7301587301587302,0.023963865948458767,0.002645502645502645,0.20437186270519606
9,2.6842105263157894,0.038025,2.7448680351906156,0.0183772707172818,0.002932551319648094,0.208067491890032
10,2.6842105263157894,0.0412,2.925925925925926,0.016698288773938256,0.003086419753086419,0.24747890310007542
1,2.894736842105263,0.033825,2.8285714285714287,0.0205741898682484,0.0023809523809523803,0.18734662743816052
2,2.894736842105263,0.038625,2.7158469945355193,0.022085575925683717,0.0027322404371584695,0.18620629975770162
3,2.894736842105263,0.037925,2.7539267015706805,0.021852436880220504,0.002617801047120418,0.18198750605645783
4,2.894736842105263,0.03925,2.8484848484848486,0.018661134249388433,0.002525252525252526,0.21081600892647398
5,2.894736842105263,0.030475,2.5839416058394162,0.02318279631674654,0.0024330900243309007,0.13225210651673971
6,2.894736842105263,0.036525,2.7034120734908136,0.02268407603056008,0.002624671916010498,0.17135826771653537
7,2.894736842105263,0.032425,2.7857142857142856,0.02223662040066867,0.0025510204081632647,0.19860120472099976
8,2.894736842105263,0.031275,2.6112759643916914,0.023177035551365688,0.002967359050445103,0.15784264977143322
9,2.894736842105263,0.0403,2.980392156862745,0.018310213783250283,0.0028011204481792717,0.25494168907590614
10,2.894736842105263,0.03515,2.5564304461942258,0.023164579431042866,0.0026246719160104982,0.12299277807665356
1,3.1052631578947367,0.03215,2.636619718309859,0.022577274759132408,0.0028169014084507044,0.13847981028114462
2,3.1052631578947367,0.036025,2.6882217090069283,0.023767216577052445,0.0023094688221709,0.17902620929296342
3,3.1052631578947367,0.038025,2.958904109589041,0.017442789671930407,0.0027397260273972603,0.23949722252184225
4,3.1052631578947367,0.0368,2.82967032967033,0.018632589576838693,0.002747252747252748,0.20243082622945316
5,3.1052631578947367,0.029975,2.5784615384615384,0.014533913130404355,0.0030769230769230765,0.16214177978883865
6,3.1052631578947367,0.03575,2.6666666666666665,0.01973919963910133,0.0029761904761904756,0.18706220215135638
7,3.1052631578947367,0.035925,2.8225806451612905,0.0229068212634859,0.002688172043010753,0.2094574701429537
8,3.1052631578947367,0.0374,2.8894878706199463,0.017428986411959262,0.002695417789757412,0.26266232297181114
9,3.1052631578947367,0.039675,2.9047619047619047,0.01330143550851389,0.002976190476190476,0.2253488283946556
10,3.1052631578947367,0.03915,2.8701298701298703,0.02105319474547295,0.003246753246753246,0.22571054883398492
1,3.3157894736842106,0.036425,2.8820224719101124,0.020127129820119216,0.0028089887640449433,0.21072300208294018
2,3.3157894736842106,0.0363,2.7743732590529246,0.019224950838398563,0.0027855153203342605,0.19791285903273467
3,3.3157894736842106,0.036575,2.836461126005362,0.019148158154487716,0.002680965147453083,0.2252453515523652
4,3.3157894736842106,0.032225,2.64,0.01898179645339015,0.002857142857142857,0.134455997588909
5,3.3157894736842106,0.028375,2.6742209631728047,0.021474918429592652,0.0028328611898017,0.18089683465454182
6,3.3157894736842106,0.0311,2.55,0.023557637813125788,0.002499999999999999,0.13505522088353417
7,3.3157894736842106,0.032825,2.7885117493472587,0.023232973080940314,0.002610966057441253,0.20396958487784614
8,3.3157894736842106,0.03345,2.6404199475065617,0.02573844183933332,0.0026246719160104982,0.1809798666941523
9,3.3157894736842106,0.03315,2.8051948051948052,0.019226356024593244,0.003246753246753247,0.21684624898910607
10,3.3157894736842106,0.0373,2.86908077994429,0.020265132865676425,0.0027855153203342605,0.20478943432977872
1,3.526315789473684,0.039125,2.933333333333333,0.018414050056499463,0.0030303030303030294,0.25631348894134093
2,3.526315789473684,0.03425,2.7308781869688383,0.020534896066057545,0.0028328611898017,0.19137157695939563
3,3.526315789473684,0.036425,2.76056338028169,0.02273727832979535,0.0028169014084507044,0.19094834519381784
4,3.526315789473684,0.0312,2.5905292479108635,0.02245695589201896,0.0027855153203342614,0.15560092087355806
5,3.526315789473684,0.033525,2.683195592286501,0.021308892618984707,0.0027548209366391185,0.167270444366076
6,3.526315789473684,0.03545,2.741214057507987,0.02214828769640107,0.0031948881789137375,0.18866808407760843
7,3.526315789473684,0.036825,2.9002849002849005,0.019762493687995125,0.0028490028490028496,0.205843824226738
8,3.526315789473684,0.035675,2.772727272727273,0.023833366758895257,0.0025252525252525255,0.1753846822028639
9,3.526315789473684,0.0401,2.9572192513368982,0.017210066591714954,0.0026737967914438492,0.22927632728670794
10,3.526315789473684,0.036,2.7653631284916202,0.022895612328165203,0.0027932960893854745,0.16858416632368628
1,3.7368421052631575,0.028725,2.5907990314769975,0.023097024633871106,0.002421307506053268,0.1158740371815432
2,3.7368421052631575,0.042025,2.885941644562334,0.016478770434749893,0.002652519893899204,0.23470149038100352
3,3.7368421052631575,0.035425,2.8255813953488373,0.022758307729456535,0.002906976744186046,0.19037060208156537
4,3.7368421052631575,0.03145,2.6666666666666665,0.023367693653137595,0.002666666666666666,0.17383152917755373
5,3.7368421052631575,0.03695,2.804289544235925,0.020013607240431906,0.002680965147453083,0.21139447736199027
6,3.7368421052631575,0.03715,2.8503937007874014,0.018989597901428828,0.0026246719160104982,0.21500621245873663
7,3.7368421052631575,0.040725,2.817910447761194,0.02019862386293703,0.0029850746268656712,0.2034368446542323
8,3.7368421052631575,0.032425,2.688607594936709,0.020426800107712886,0.002531645569620252,0.14384966723215453
9,3.7368421052631575,0.0358,2.7965616045845274,0.022801099966106547,0.002865329512893982,0.20464219422969482
10,3.7368421052631575,0.03135,2.6685082872928176,0.0278284946154278,0.0027624309392265184,0.16212997213795985
1,3.9473684210526314,0.036975,2.7252747252747254,0.024216240815939465,0.0027472527472527475,0.19052754099483055
2,3.9473684210526314,0.033775,2.7135135135135133,0.02087560784538516,0.002702702702702703,0.1788828828828827
3,3.9473684210526314,0.033975,2.7706855791962175,0.021705225953934423,0.002364066193853428,0.18128841109447388
4,3.9473684210526314,0.03885,2.888888888888889,0.020025433777697662,0.0031746031746031746,0.23254647188275498
5,3.9473684210526314,0.038125,2.9657142857142857,0.01709933612808822,0.002857142857142857,0.233095376522702
6,3.9473684210526314,0.0349,2.833759590792839,0.016158638916184985,0.0025575447570332483,0.21010124495360485
7,3.9473684210526314,0.0411,3.019718309859155,0.017738575625581725,0.0028169014084507044,0.275628103370657
8,3.9473684210526314,0.035475,2.6804733727810652,0.022725505491997162,0.0029585798816568042,0.18970597206124562
9,3.9473684210526314,0.032625,2.6648351648351647,0.01556592578692025,0.0027472527472527483,0.19053929840446682
10,3.9473684210526314,0.02845,2.5828571428571427,0.025027594675850792,0.002857142857142857,0.14865169948576448
1,4.157894736842105,0.032875,2.761421319796954,0.018117579499734953,0.0025380710659898475,0.1561401537969919
2,4.157894736842105,0.037675,2.8688524590163933,0.019791571554428056,0.0027322404371584695,0.2325572708691218
3,4.157894736842105,0.0383,2.8140161725067387,0.022760239695352454,0.002695417789757412,0.21657751993542204
4,4.157894736842105,0.034925,2.8597701149425285,0.017555902075781747,0.002298850574712643,0.2119111976858285
5,4.157894736842105,0.034625,2.663101604278075,0.025115530004348793,0.0026737967914438497,0.14622440645458545
6,4.157894736842105,0.0367,2.808743169398907,0.01997336446022726,0.0027322404371584695,0.20906890873228096
7,4.157894736842105,0.03645,2.8711340206185567,0.018082472294444176,0.002577319587628865,0.2064858992928346
8,4.157894736842105,0.0344,2.8857142857142857,0.023113469871695352,0.0028571428571428576,0.21814403778040145
9,4.157894736842105,0.0367,2.9245283018867925,0.013725072121234498,0.0031446540880503138,0.2392580201662388
10,4.157894736842105,0.040425,2.768292682926829,0.013440522554603606,0.0030487804878048777,0.19772402394353614
1,4.368421052631579,0.031775,2.621212121212121,0.02698014002389766,0.002525252525252526,0.12043859649122818
2,4.368421052631579,0.033225,2.8939828080229226,0.017087667655565537,0.002865329512893982,0.22201690738944307
3,4.368421052631579,0.029725,2.72264631043257,0.023261677721204643,0.0025445292620865133,0.1633311004369751
4,4.368421052631579,0.031325,2.6527415143603132,0.028155026751001466,0.0026109660574412524,0.1832565832112641
5,4.368421052631579,0.03275,2.6866485013623977,0.019935656558672247,0.002724795640326975,0.1780743582389214
6,4.368421052631579,0.02825,2.684057971014493,0.025175079420761536,0.0028985507246376808,0.16286854748640275
